COUNTRY,FECHA,CONTAGIADOS,FALLECIDOS,RECUPERADOS,HOSPITALIZADOS,UCIs
BOLIVIA,08/03/2020,1,0,0,0,
BOLIVIA,09/03/2020,1,0,0,0,
BOLIVIA,10/03/2020,5,0,0,0,
BOLIVIA,11/03/2020,3,0,0,0,
BOLIVIA,12/03/2020,0,0,0,0,
BOLIVIA,13/03/2020,2,0,0,0,
BOLIVIA,14/03/2020,0,0,0,0,
BOLIVIA,15/03/2020,1,0,0,0,
BOLIVIA,16/03/2020,1,0,0,0,
BOLIVIA,17/03/2020,1,0,0,0,
BOLIVIA,18/03/2020,3,0,0,0,
BOLIVIA,19/03/2020,2,0,0,0,
BOLIVIA,20/03/2020,7,0,0,0,
BOLIVIA,21/03/2020,3,0,0,0,
BOLIVIA,22/03/2020,0,0,0,0,
BOLIVIA,23/03/2020,1,0,0,0,
BOLIVIA,24/03/2020,1,0,0,0,
BOLIVIA,25/03/2020,7,0,0,0,
BOLIVIA,26/03/2020,22,0,0,0,
BOLIVIA,27/03/2020,13,0,0,0,
BOLIVIA,28/03/2020,7,0,0,0,
BOLIVIA,29/03/2020,7,3,0,0,
BOLIVIA,30/03/2020,11,3,0,0,
BOLIVIA,31/03/2020,8,1,0,0,
BOLIVIA,01/04/2020,8,1,0,0,
BOLIVIA,02/04/2020,9,1,0,0,
BOLIVIA,03/04/2020,7,1,1,0,
BOLIVIA,04/04/2020,18,0,1,0,
BOLIVIA,05/04/2020,26,1,0,0,
BOLIVIA,06/04/2020,11,3,0,0,
BOLIVIA,07/04/2020,16,3,0,0,
BOLIVIA,08/04/2020,54,1,0,,
BOLIVIA,09/04/2020,4,1,0,,
BOLIVIA,10/04/2020,7,1,0,,
BOLIVIA,11/04/2020,25,4,0,,
BOLIVIA,12/04/2020,30,3,0,,
BOLIVIA,13/04/2020,24,1,4,,
BOLIVIA,14/04/2020,43,0,1,,
BOLIVIA,15/04/2020,44,1,7,,
BOLIVIA,16/04/2020,24,2,12,,
BOLIVIA,17/04/2020,28,0,5,,
BOLIVIA,18/04/2020,27,1,0,,
BOLIVIA,19/04/2020,44,1,0,,
BOLIVIA,20/04/2020,34,1,6,,
BOLIVIA,21/04/2020,11,3,7,,
BOLIVIA,22/04/2020,63,3,0,,
BOLIVIA,23/04/2020,31,3,10,,
BOLIVIA,24/04/2020,104,1,9,,
BOLIVIA,25/04/2020,59,2,12,,
BOLIVIA,26/04/2020,84,4,6,,
BOLIVIA,27/04/2020,64,3,19,,
BOLIVIA,28/04/2020,39,2,29,,
BOLIVIA,29/04/2020,57,4,7,,
BOLIVIA,30/04/2020,57,1,5,,
BOLIVIA,01/05/2020,62,6,2,,
BOLIVIA,02/05/2020,241,11,25,,
BOLIVIA,03/05/2020,124,5,7,,
BOLIVIA,04/05/2020,87,6,8,,
BOLIVIA,05/05/2020,121,4,13,,
BOLIVIA,06/05/2020,84,5,11,,
BOLIVIA,07/05/2020,195,11,21,,
BOLIVIA,08/05/2020,185,4,8,,
BOLIVIA,09/05/2020,171,8,21,,
BOLIVIA,10/05/2020,119,3,15,,
BOLIVIA,11/05/2020,275,5,26,,
BOLIVIA,12/05/2020,133,6,14,,
BOLIVIA,13/05/2020,184,14,26,,
BOLIVIA,14/05/2020,224,10,17,,
BOLIVIA,15/05/2020,205,12,78,,
BOLIVIA,16/05/2020,249,1,39,,
BOLIVIA,17/05/2020,262,4,20,,
BOLIVIA,18/05/2020,175,5,10,,
BOLIVIA,19/05/2020,218,15,30,,
BOLIVIA,20/05/2020,438,10,20,,
BOLIVIA,21/05/2020,268,16,8,,
BOLIVIA,22/05/2020,392,15,14,,
BOLIVIA,23/05/2020,336,10,34,,
BOLIVIA,24/05/2020,348,10,20,,
BOLIVIA,25/05/2020,397,11,18,,
BOLIVIA,26/05/2020,476,2,30,,
BOLIVIA,27/05/2020,632,17,12,,
BOLIVIA,28/05/2020,619,13,49,,
BOLIVIA,29/05/2020,344,7,11,,
BOLIVIA,30/05/2020,861,10,140,,
BOLIVIA,31/05/2020,390,3,97,,
BOLIVIA,01/06/2020,549,30,146,,
BOLIVIA,02/06/2020,460,33,166,,
BOLIVIA,03/06/2020,647,24,209,,
BOLIVIA,04/06/2020,607,15,151,,
BOLIVIA,05/06/2020,483,12,76,,
BOLIVIA,06/06/2020,630,27,168,,
BOLIVIA,07/06/2020,285,10,184,,
BOLIVIA,08/06/2020,306,10,73,,
BOLIVIA,09/06/2020,695,12,31,,
BOLIVIA,10/06/2020,637,25,71,,
BOLIVIA,11/06/2020,884,21,111,,
BOLIVIA,12/06/2020,764,26,59,,
BOLIVIA,13/06/2020,913,26,337,,
BOLIVIA,14/06/2020,617,26,345,,
BOLIVIA,15/06/2020,614,21,317,,
BOLIVIA,16/06/2020,810,27,322,,
BOLIVIA,17/06/2020,802,20,250,,
BOLIVIA,18/06/2020,814,18,318,,
BOLIVIA,19/06/2020,977,18,350,,
BOLIVIA,20/06/2020,1036,25,416,,
BOLIVIA,21/06/2020,876,33,431,,
BOLIVIA,22/06/2020,1105,47,47,,
BOLIVIA,23/06/2020,896,26,76,,
BOLIVIA,24/06/2020,1098,30,20,,
BOLIVIA,25/06/2020,1016,37,37,,
BOLIVIA,26/06/2020,920,21,21,,
BOLIVIA,27/06/2020,1253,36,36,,
BOLIVIA,28/06/2020,848,44,44,,
BOLIVIA,29/06/2020,601,57,57,,
BOLIVIA,30/06/2020,1094,52,52,,
BOLIVIA,01/07/2020,1008,78,424,,
BOLIVIA,02/07/2020,1301,70,408,,
BOLIVIA,03/07/2020,1290,49,506,,
BOLIVIA,04/07/2020,1253,58,395,,
BOLIVIA,05/07/2020,1226,56,262,,
BOLIVIA,06/07/2020,1226,42,10691,,
BOLIVIA,07/07/2020,1036,54,11645,,
BOLIVIA,08/07/2020,1439,47,471,,
BOLIVIA,09/07/2020,1129,61,564,,
BOLIVIA,10/07/2020,1452,64,415,,
BOLIVIA,11/07/2020,1635,52,510,,
BOLIVIA,12/07/2020,1351,53,456,,
BOLIVIA,13/07/2020,1938,59,520,,
BOLIVIA,14/07/2020,1617,32,538,,
BOLIVIA,15/07/2020,1351,44,622,,
BOLIVIA,16/07/2020,1938,42,903,,
BOLIVIA,17/07/2020,1946,65,318,,
BOLIVIA,18/07/2020,2036,57,353,,
BOLIVIA,19/07/2020,1444,45,322,,
BOLIVIA,20/07/2020,1409,67,1,,
BOLIVIA,21/07/2020,1366,55,415,,
BOLIVIA,22/07/2020,1778,55,431,,
BOLIVIA,23/07/2020,1117,79,309,,
BOLIVIA,24/07/2020,1209,66,584,,
BOLIVIA,25/07/2020,1825,62,337,,
BOLIVIA,26/07/2020,1148,48,218,,
BOLIVIA,27/07/2020,1752,64,309,,
BOLIVIA,28/07/2020,1146,73,493,,
BOLIVIA,29/07/2020,1207,88,535,,
BOLIVIA,30/07/2020,1700,86,799,,
BOLIVIA,31/07/2020,1555,83,277,,
BOLIVIA,01/08/2020,2004,87,386,,
BOLIVIA,02/08/2020,1360,89,188,,
BOLIVIA,03/08/2020,1693,75,354,,
BOLIVIA,04/08/2020,1515,92,880,,
BOLIVIA,05/08/2020,1780,65,1047,,
BOLIVIA,06/08/2020,1282,80,936,,
BOLIVIA,07/08/2020,1468,59,766,,
BOLIVIA,08/08/2020,1164,163,765,,
BOLIVIA,09/08/2020,944,47,904,,
BOLIVIA,10/08/2020,1636,72,1015,,
BOLIVIA,11/08/2020,1693,49,930,,
BOLIVIA,12/08/2020,1743,66,1077,,
BOLIVIA,13/08/2020,1388,57,890,,
BOLIVIA,14/08/2020,1491,55,1003,,
BOLIVIA,15/08/2020,1196,64,915,,
BOLIVIA,16/08/2020,1198,45,853,,
BOLIVIA,17/08/2020,879,75,980,,
BOLIVIA,18/08/2020,1796,49,1152,,
BOLIVIA,19/08/2020,2031,61,1342,,
BOLIVIA,20/08/2020,1015,72,1146,,
BOLIVIA,21/08/2020,1370,61,1030,,
BOLIVIA,22/08/2020,992,76,1746,,
BOLIVIA,23/08/2020,722,69,1509,,
BOLIVIA,24/08/2020,999,94,1654,,
BOLIVIA,25/08/2020,851,62,1825,,
BOLIVIA,26/08/2020,851,62,1522,,
BOLIVIA,27/08/2020,1035,65,2124,,
BOLIVIA,28/08/2020,1280,55,2128,,
BOLIVIA,29/08/2020,945,92,2100,,
BOLIVIA,30/08/2020,614,28,1748,,
BOLIVIA,31/08/2020,630,55,1911,,
BOLIVIA,01/09/2020,669,1716,1716,,
BOLIVIA,02/09/2020,661,1950,1950,,
BOLIVIA,03/09/2020,853,1810,1810,,
BOLIVIA,04/09/2020,799,1960,1960,,
BOLIVIA,05/09/2020,661,1825,1722,,
BOLIVIA,06/09/2020,528,1522,1923,,
BOLIVIA,07/09/2020,835,2124,1661,,
BOLIVIA,08/09/2020,704,1948,1948,,
BOLIVIA,09/09/2020,1037,2118,2118,,
BOLIVIA,10/09/2020,860,2267,2267,,
BOLIVIA,11/09/2020,222,1757,1757,,
BOLIVIA,12/09/2020,810,1556,1556,,
BOLIVIA,13/09/2020,809,1490,1490,,
BOLIVIA,14/09/2020,828,1018,1333,,
BOLIVIA,15/09/2020,667,815,1018,,
BOLIVIA,16/09/2020,586,815,815,,
BOLIVIA,17/09/2020,547,685,685,,
BOLIVIA,18/09/2020,632,741,741,,
BOLIVIA,19/09/2020,419,575,575,,
BOLIVIA,20/09/2020,206,585,585,,
BOLIVIA,21/09/2020,310,623,623,,
BOLIVIA,22/09/2020,467,613,613,,
BOLIVIA,23/09/2020,537,703,703,,
BOLIVIA,24/09/2020,628,545,545,,
BOLIVIA,25/09/2020,604,1765,767,,
BOLIVIA,26/09/2020,370,538,538,,
BOLIVIA,27/09/2020,309,385,385,,
BOLIVIA,28/09/2020,322,533,533,,
BOLIVIA,29/09/2020,418,570,571,,
BOLIVIA,30/09/2020,670,226,634,,
CHILE,03/03/2020,1,0,0,0,0
CHILE,04/03/2020,2,0,0,0,0
CHILE,05/03/2020,1,0,0,0,0
CHILE,06/03/2020,1,0,0,0,0
CHILE,07/03/2020,2,0,0,0,0
CHILE,08/03/2020,3,0,0,0,0
CHILE,09/03/2020,5,0,0,0,0
CHILE,10/03/2020,2,0,0,0,0
CHILE,11/03/2020,6,0,0,0,0
CHILE,12/03/2020,10,0,0,0,0
CHILE,13/03/2020,10,0,0,0,0
CHILE,14/03/2020,18,0,0,0,0
CHILE,15/03/2020,14,0,0,0,0
CHILE,16/03/2020,81,0,0,0,0
CHILE,17/03/2020,45,0,1,0,0
CHILE,18/03/2020,37,0,2,0,0
CHILE,19/03/2020,104,1,2,0,0
CHILE,20/03/2020,92,0,1,0,0
CHILE,21/03/2020,103,1,2,0,0
CHILE,22/03/2020,95,0,0,0,0
CHILE,23/03/2020,114,1,1,0,0
CHILE,24/03/2020,176,0,1,0,0
CHILE,25/03/2020,220,1,1,0,0
CHILE,26/03/2020,164,0,6,0,0
CHILE,27/03/2020,304,0,1,0,0
CHILE,28/03/2020,299,0,8,0,0
CHILE,29/03/2020,230,0,4,0,0
CHILE,30/03/2020,310,0,67,0,0
CHILE,31/03/2020,289,-1,2,0,0
CHILE,01/04/2020,293,4,1,0,0
CHILE,02/04/2020,373,0,121,0,0
CHILE,03/04/2020,333,18,89,0,237
CHILE,04/04/2020,424,5,98,0,43
CHILE,05/04/2020,310,7,88,0,27
CHILE,06/04/2020,344,3,11,0,20
CHILE,07/04/2020,301,6,170,0,10
CHILE,08/04/2020,430,5,215,0,25
CHILE,09/04/2020,426,9,155,0,2
CHILE,10/04/2020,529,8,296,0,23
CHILE,11/04/2020,426,8,291,788,83
CHILE,12/04/2020,286,7,223,5,1
CHILE,13/04/2020,312,2,308,24,22
CHILE,14/04/2020,392,12,279,22,7
CHILE,15/04/2020,356,0,291,241,0
CHILE,16/04/2020,534,11,362,37,6
CHILE,17/04/2020,445,11,322,22,8
CHILE,18/04/2020,478,10,414,58,31
CHILE,19/04/2020,358,7,303,25,78
CHILE,20/04/2020,419,6,338,9,77
CHILE,21/04/2020,325,8,293,81,96
CHILE,22/04/2020,464,13,417,31,7
CHILE,23/04/2020,516,8,418,18,12
CHILE,24/04/2020,494,6,523,19,4
CHILE,25/04/2020,552,7,419,32,3
CHILE,26/04/2020,473,8,278,24,3
CHILE,27/04/2020,482,9,303,67,11
CHILE,28/04/2020,552,9,383,29,2
CHILE,29/04/2020,770,9,347,14,10
CHILE,30/04/2020,888,11,523,54,1
CHILE,01/05/2020,985,7,438,54,6
CHILE,02/05/2020,1427,13,555,97,24
CHILE,03/05/2020,1228,13,468,128,15
CHILE,04/05/2020,980,10,374,69,6
CHILE,05/05/2020,1317,5,295,117,16
CHILE,06/05/2020,1032,6,479,114,7
CHILE,07/05/2020,1533,4,475,124,15
CHILE,08/05/2020,1391,9,496,106,36
CHILE,09/05/2020,1247,10,507,103,21
CHILE,10/05/2020,1641,8,449,84,9
CHILE,11/05/2020,1197,11,489,147,30
CHILE,12/05/2020,1658,12,520,225,38
CHILE,13/05/2020,2660,11,740,187,21
CHILE,14/05/2020,2659,22,790,164,0
CHILE,15/05/2020,2502,26,959,164,48
CHILE,16/05/2020,1886,27,1400,185,40
CHILE,17/05/2020,2353,29,1199,282,18
CHILE,18/05/2020,2278,28,952,263,38
CHILE,19/05/2020,3520,31,1342,185,69
CHILE,20/05/2020,4038,35,997,239,28
CHILE,21/05/2020,3964,45,1488,160,39
CHILE,22/05/2020,4276,41,1350,267,43
CHILE,23/05/2020,3536,43,1204,235,76
CHILE,24/05/2020,3709,45,1602,143,28
CHILE,25/05/2020,4895,43,1154,321,45
CHILE,26/05/2020,3964,45,1613,323,67
CHILE,27/05/2020,4328,35,2625,184,49
CHILE,28/05/2020,4654,49,2610,124,38
CHILE,29/05/2020,3695,54,2448,206,61
CHILE,30/05/2020,4220,53,1833,259,33
CHILE,31/05/2020,4830,57,2296,238,63
CHILE,01/06/2020,5471,59,2219,75,5
CHILE,02/06/2020,3527,75,3804,176,24
CHILE,03/06/2020,4942,87,4096,183,21
CHILE,04/06/2020,4664,81,4102,72,25
CHILE,05/06/2020,4207,92,3587,41,3
CHILE,06/06/2020,5246,93,3339,119,34
CHILE,07/06/2020,6405,649,3780,40,23
CHILE,08/06/2020,4696,74,4651,147,4
CHILE,09/06/2020,3913,19,5113,268,13
CHILE,10/06/2020,5737,192,4459,170,28
CHILE,11/06/2020,5596,173,4624,169,29
CHILE,12/06/2020,6754,222,4914,101,9
CHILE,13/06/2020,6509,231,5938,183,59
CHILE,14/06/2020,6938,222,6408,92,8
CHILE,15/06/2020,5143,39,5088,104,4
CHILE,16/06/2020,5013,21,7440,145,67
CHILE,17/06/2020,4757,232,2500,108,51
CHILE,18/06/2020,4475,226,4510,29,66
CHILE,19/06/2020,6290,252,5050,110,40
CHILE,20/06/2020,5355,202,5118,78,45
CHILE,21/06/2020,5607,184,3960,87,18
CHILE,22/06/2020,4608,23,4828,38,5
CHILE,23/06/2020,3804,3,5173,151,37
CHILE,24/06/2020,3649,226,4523,12,32
CHILE,25/06/2020,4648,172,4234,48,8
CHILE,26/06/2020,4296,165,4104,20,4
CHILE,27/06/2020,4406,279,4624,137,39
CHILE,28/06/2020,4216,162,4155,7,39
CHILE,29/06/2020,4017,66,3806,136,16
CHILE,30/06/2020,3394,113,5213,,
CHILE,01/07/2020,2650,65,4214,,
CHILE,02/07/2020,2498,65,3804,,
CHILE,03/07/2020,3548,167,4096,,
CHILE,04/07/2020,3758,141,4102,,
CHILE,05/07/2020,3685,116,3587,,
CHILE,06/07/2020,3025,76,3339,,
CHILE,07/07/2020,2462,50,3874,,
CHILE,08/07/2020,2064,134,3458,,
CHILE,09/07/2020,3133,109,3219,,
CHILE,10/07/2020,3058,99,3131,,
CHILE,11/07/2020,2755,100,3061,,
CHILE,12/07/2020,3012,198,2788,,
CHILE,13/07/2020,2616,45,2654,,
CHILE,14/07/2020,1836,45,2664,,
CHILE,15/07/2020,1712,117,2865,,
CHILE,16/07/2020,2475,104,3216,,
CHILE,17/07/2020,2840,157,1516,,
CHILE,18/07/2020,2185,98,2635,,
CHILE,19/07/2020,2082,58,2345,,
CHILE,20/07/2020,2099,130,2198,,
CHILE,21/07/2020,1656,44,2824,,
CHILE,22/07/2020,1741,45,2425,,
CHILE,23/07/2020,2371,116,2190,,
CHILE,24/07/2020,2545,76,2265,,
CHILE,25/07/2020,2287,106,2473,,
CHILE,26/07/2020,2198,92,1926,,
CHILE,27/07/2020,2133,75,1859,,
CHILE,28/07/2020,1876,53,2378,,
CHILE,29/07/2020,1773,38,2225,,
CHILE,30/07/2020,1948,99,2071,,
CHILE,31/07/2020,2123,80,1699,,
CHILE,01/08/2020,1979,76,2180,,
CHILE,02/08/2020,2081,75,1904,,
CHILE,03/08/2020,1762,99,1565,,
CHILE,04/08/2020,1462,38,2354,,
CHILE,05/08/2020,1781,47,1961,,
CHILE,06/08/2020,1947,97,1877,,
CHILE,07/08/2020,2149,69,3877,,
CHILE,08/08/2020,2201,53,1965,,
CHILE,09/08/2020,2036,66,1993,,
CHILE,10/08/2020,1988,62,1516,,
CHILE,11/08/2020,1566,39,2199,,
CHILE,12/08/2020,154,27,4077,,
CHILE,13/08/2020,1852,94,1712,,
CHILE,14/08/2020,2077,41,1906,,
CHILE,15/08/2020,1777,55,1914,,
CHILE,16/08/2020,2086,57,1877,,
CHILE,17/08/2020,1556,61,1557,,
CHILE,18/08/2020,1336,33,2055,,
CHILE,19/08/2020,1233,32,1845,,
CHILE,20/08/2020,1813,93,1778,,
CHILE,21/08/2020,1920,52,1834,,
CHILE,22/08/2020,1926,69,3667,,
CHILE,23/08/2020,1942,60,1449,,
CHILE,24/08/2020,1903,64,1285,,
CHILE,25/08/2020,1906,42,1999,,
CHILE,26/08/2020,1371,32,1805,,
CHILE,27/08/2020,1739,82,1654,,
CHILE,28/08/2020,1868,60,1530,,
CHILE,29/08/2020,2033,44,1731,,
CHILE,30/08/2020,1966,63,1401,969,
CHILE,31/08/2020,1753,45,1295,962,
CHILE,01/09/2020,1415,32,,947,
CHILE,02/09/2020,1582,23,,940,
CHILE,03/09/2020,1758,78,,932,
CHILE,04/09/2020,1965,72,,908,
CHILE,05/09/2020,1961,57,,909,
CHILE,06/09/2020,2077,98,,930,
CHILE,07/09/2020,1764,60,,930,
CHILE,08/09/2020,1263,,,,
CHILE,09/09/2020,1482,,,,
CHILE,10/09/2020,1639,,,,
CHILE,11/09/2020,1860,,,,
CHILE,12/09/2020,2135,,,,
CHILE,13/09/2020,2082,,,,
CHILE,14/09/2020,1685,,,,
CHILE,15/09/2020,1535,,,,
CHILE,16/09/2020,1305,,,,
CHILE,17/09/2020,1860,,,,
CHILE,18/09/2020,1673,,,,
CHILE,19/09/2020,1848,,,,
CHILE,20/09/2020,1600,,,,
CHILE,21/09/2020,1194,,,,
CHILE,22/09/2020,1054,,,,
CHILE,23/09/2020,1372,,,,
CHILE,24/09/2020,1731,,,,
CHILE,25/09/2020,2222,,,,
CHILE,26/09/2020,2109,,,,
CHILE,27/09/2020,1923,,,,
CHILE,28/09/2020,1770,,,,
CHILE,29/09/2020,1622,,,,
CHILE,30/09/2020,1684,,,,
ECUADOR,05/04/2020,181,8,,0,0
ECUADOR,06/04/2020,101,11,,0,0
ECUADOR,07/04/2020,248,29,,0,0
ECUADOR,08/04/2020,455,22,,0,0
ECUADOR,09/04/2020,515,30,,0,0
ECUADOR,10/04/2020,2196,25,,0,0
ECUADOR,11/04/2020,96,18,,0,0
ECUADOR,12/04/2020,209,18,,0,0
ECUADOR,13/04/2020,63,22,,0,0
ECUADOR,14/04/2020,74,14,,0,0
ECUADOR,15/04/2020,255,19,,0,0
ECUADOR,16/04/2020,367,15,,0,0
ECUADOR,17/04/2020,225,18,,0,0
ECUADOR,18/04/2020,572,35,,0,0
ECUADOR,19/04/2020,446,18,,0,0
ECUADOR,20/04/2020,660,33,,0,0
ECUADOR,21/04/2020,270,13,,0,0
ECUADOR,22/04/2020,452,17,,0,0
ECUADOR,23/04/2020,333,23,,0,0
ECUADOR,24/04/2020,0,16,,0,0
ECUADOR,25/04/2020,0,0,,0,0
ECUADOR,26/04/2020,0,0,,0,0
ECUADOR,27/04/2020,0,0,,0,0
ECUADOR,28/04/2020,0,0,,0,0
ECUADOR,29/04/2020,417,12,,0,0
ECUADOR,30/04/2020,259,17,,0,0
ECUADOR,01/05/2020,1402,163,,0,0
ECUADOR,02/05/2020,1128,308,,0,0
ECUADOR,03/05/2020,2074,193,,0,0
ECUADOR,04/05/2020,2343,5,,0,0
ECUADOR,05/05/2020,0,0,,0,0
ECUADOR,06/05/2020,2461,49,,0,0
ECUADOR,07/05/2020,878,36,,0,0
ECUADOR,08/05/2020,1480,50,,0,0
ECUADOR,09/05/2020,253,13,,0,0
ECUADOR,10/05/2020,488,410,,0,0
ECUADOR,11/05/2020,50,18,,0,0
ECUADOR,12/05/2020,910,182,,0,0
ECUADOR,13/05/2020,67,7,,0,0
ECUADOR,14/05/2020,16,4,,0,0
ECUADOR,15/05/2020,965,256,,0,0
ECUADOR,16/05/2020,1256,94,,0,0
ECUADOR,17/05/2020,459,48,,0,0
ECUADOR,18/05/2020,400,63,,0,0
ECUADOR,19/05/2020,569,40,,0,0
ECUADOR,20/05/2020,703,49,,0,0
ECUADOR,21/05/2020,452,51,,0,0
ECUADOR,22/05/2020,522,117,,0,0
ECUADOR,23/05/2020,430,40,,0,0
ECUADOR,24/05/2020,498,12,,0,0
ECUADOR,25/05/2020,599,95,,0,0
ECUADOR,26/05/2020,301,18,,0,0
ECUADOR,27/05/2020,447,54,,0,0
ECUADOR,28/05/2020,368,38,,0,0
ECUADOR,29/05/2020,100,21,,0,0
ECUADOR,30/05/2020,272,12,,0,0
ECUADOR,31/05/2020,255,12,,0,0
ECUADOR,01/06/2020,896,36,,0,0
ECUADOR,02/06/2020,420,44,,0,0
ECUADOR,03/06/2020,552,48,,0,0
ECUADOR,04/06/2020,609,48,,0,0
ECUADOR,05/06/2020,531,58,,0,0
ECUADOR,06/06/2020,622,16,,0,0
ECUADOR,07/06/2020,392,13,,0,0
ECUADOR,08/06/2020,258,21,,0,0
ECUADOR,09/06/2020,539,48,,0,0
ECUADOR,10/06/2020,523,30,,0,0
ECUADOR,11/06/2020,642,48,,0,0
ECUADOR,12/06/2020,696,60,,0,0
ECUADOR,13/06/2020,578,46,,0,0
ECUADOR,14/06/2020,395,22,,0,0
ECUADOR,15/06/2020,571,33,,0,0
ECUADOR,16/06/2020,621,41,,0,0
ECUADOR,17/06/2020,547,37,,0,0
ECUADOR,18/06/2020,607,80,,0,0
ECUADOR,19/06/2020,634,69,,0,0
ECUADOR,20/06/2020,452,43,,0,0
ECUADOR,21/06/2020,457,24,,0,0
ECUADOR,22/06/2020,275,23,,0,0
ECUADOR,23/06/2020,728,28,,0,0
ECUADOR,24/06/2020,691,35,,0,0
ECUADOR,25/06/2020,822,34,,0,0
ECUADOR,26/06/2020,700,63,,0,0
ECUADOR,27/06/2020,718,18,,0,0
ECUADOR,28/06/2020,681,5,,0,0
ECUADOR,29/06/2020,410,73,,0,0
ECUADOR,30/06/2020,677,25,,0,0
ECUADOR,01/07/2020,1915,49,,,
ECUADOR,02/07/2020,1229,63,,,
ECUADOR,03/07/2020,1171,61,,,
ECUADOR,04/07/2020,878,69,,,
ECUADOR,05/07/2020,423,12,,,
ECUADOR,06/07/2020,422,40,,,
ECUADOR,07/07/2020,865,52,,,
ECUADOR,08/07/2020,976,27,,,
ECUADOR,09/07/2020,797,39,,,
ECUADOR,10/07/2020,783,44,,,
ECUADOR,11/07/2020,1408,48,,,
ECUADOR,12/07/2020,661,16,,,
ECUADOR,13/07/2020,589,16,,,
ECUADOR,14/07/2020,1111,67,,,
ECUADOR,15/07/2020,759,28,,,
ECUADOR,16/07/2020,1036,49,,,
ECUADOR,17/07/2020,1079,43,,,
ECUADOR,18/07/2020,938,32,,,
ECUADOR,19/07/2020,631,31,,,
ECUADOR,20/07/2020,607,5,,,
ECUADOR,21/07/2020,1597,48,,,
ECUADOR,22/07/2020,1040,52,,,
ECUADOR,23/07/2020,891,21,,,
ECUADOR,24/07/2020,901,29,,,
ECUADOR,25/07/2020,987,39,,,
ECUADOR,26/07/2020,658,8,,,
ECUADOR,27/07/2020,467,17,,,
ECUADOR,28/07/2020,1118,52,,,
ECUADOR,29/07/2020,914,39,,,
ECUADOR,30/07/2020,1177,34,,,
ECUADOR,31/07/2020,985,45,,,
